Package,Tonnage,Tier,Position,Brand,Model Number,Image File
Ultimate,,Good,2,Ameristar,5TXCA002AS3HC,sga_ultimate__oneton_good_2_ameristar_5txca002as3hc.png
Ultimate,,Good,3,Trane,S8V2A040M3PCA,sga_ultimate__oneton_good_3_trane_s8v2a040m3pca.png
Ultimate,,Good,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_good_4_trane_tcont724as42da_4.png
Ultimate,,Budget,1,Trane,5TTX5024A1000,sga_ultimate__oneton_budget_1_trane_5ttx5024a1000.png
Ultimate,,Budget,2,Trane,5TXCB004AS3HC,sga_ultimate__oneton_budget_2_trane_5txcb004as3hc_2.png
Ultimate,,Budget,3,Trane,S8X1B040M2PSC,sga_ultimate__oneton_budget_3_trane_s8x1b040m2psc.png
Ultimate,,Budget,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_budget_4_trane_tcont724as42da_4.png
Ultimate,1.5,Budget,1,Trane,5TTX5018A1000,sga_ultimate_1.5ton_budget_1_trane_5ttx5018a1000.png
Ultimate,1.5,Budget,2,Ameristar,5TXCB003AS3HC,sga_ultimate_1.5ton_budget_2_ameristar_5txcb003as3hc.png
Ultimate,1.5,Budget,3,Trane,S8X1B040M2PSC,sga_ultimate_1.5ton_budget_3_trane_s8x1b040m2psc.png
Ultimate,1.5,Budget,4,Trane,TCONT724AS42DA,sga_ultimate_1.5ton_budget_4_trane_tcont724as42da.png
