Item Name,Description,Mfg Part #,Category,Rate,Item Type
Add-A-Vent,"INSTALL NEW VENT IN FLOOR / CEILING COMPLETE INCLUDING -1) INSTALL DAMPERED TAKE-OFF, EVERCLEAN FLEXIBLE DUCT, ELBOW, & NEW BOOT -2) CUT HOLE IN FLOOR",,Service:Service Repairs:Ductwork Repairs / Modifications,650.00000,Non Inventory
Adding Refrigerant,"ADD CORRECT AMOUNT OF REFRIGERANT COMPLETE INCLUDING:\CR-1) MONITOR REFRIGERANT LEVELS, MEASURE TEMPERATURES & PRESSURES \CR-2) RECORD ALL DATA FOR FUTURE",,Service:Service Repairs:Refrigerant,2600.00000,Non Inventory
Advanced Wire Repair,PERFORM ADVANCED WIRING REPAIR INCLUDING -1) REPLACE ALL DAMAGED CONNECTIONS & WIRES -2) PERFORM OPERATIONAL CHECKOUT OF AFFECTED SYSTEMS -3) RECYCLE,,Service:Service Repairs:Electrical Repairs,260.00000,Non Inventory
Air Conditioner Pad,,,,26.67000,Non Inventory
Air Duct Sealing,,,Sales:New Ductwork,0.00000,Non Inventory
Air Handler Installation,,,Sales,0.00000,Inventory
Air Handler Platform,INSTALL WOOD PLATFORM UNDER TO SUPPORT INDOOR / AIR HANDLER UNIT COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF EXISTING PLATFORM -2) THIS PLATFORM IS 2,,Service:Service Repairs:HVAC Equipment Support,563.33000,Non Inventory
Air Handler Refurbishment,Air Handler Refurbishment Includes: \CR\CR- Removal of deteriorated internal insulation and debris\CR- Installation of new Armaflex insulation inside unit\CR-,,Sales:Trane:Air Handler,3033.33000,Inventory
Air Quality Test,MONITOR AIR QUALITY IN HOME FOR UP TO 2 WEEKS INCLUDES\CR- HUMIDITY\CR- AIR PARTICULATE COUNT\CR- CARBON MONOXIDE\CR- CARBON DIOXIDE\CR- AIR QUALITY REPORTS PRO,,Service:Service Repairs:Home Diagnosis Services,525.00000,Non Inventory
Animal Damage Repair,,,Service:Service Repairs:Ductwork Repairs / Modifications,0.00000,Non Inventory
Annual Preventive Maintenance,GIESBRECHT MAINTENANCE PROGRAM\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOWER U,,,229.00000,Inventory
Annual Resedential Energy Sa...,,,,199.00000,Non Inventory
Annual Water Heater Maintenance,PERFORM MAINTENANCE TO ON DEMAND WATER HEATER UNIT COMPLETE INCLUDING \CR- FLUSH UNIT WITH DESCALING CLEANER \CR- INSPECT HEATER UNIT FOR ANY ELECTRICAL,,Maintenance:Maintenance Program,295.70000,Non Inventory
April Air Dehumidifier,April Air 95 Pint Dehumidifier,,,3600.00000,Non Inventory
