file,package,system,tonnage,tier,position,brand,model,pdf_page,column,placeholder
shp_essential_2_5ton_good_1_trane_5twr4030a1000.png,Essential,SHP,2.5,Good,1,Trane,5TWR4030A1000,6,left,0
shp_essential_2_5ton_good_2_trane_5tem4b03ac31s.png,Essential,SHP,2.5,Good,2,Trane,5TEM4B03AC31S,6,left,0
shp_essential_2_5ton_good_3_trane_tcont724as42da.png,Essential,SHP,2.5,Good,3,Trane,TCONT724AS42DA,6,left,0
shp_essential_2ton_best_1_trane_5twr5024a1000.png,Essential,SHP,2,Best,1,Trane,5TWR5024A1000,7,left,0
shp_essential_2ton_best_2_trane_5tem4b02ac21s.png,Essential,SHP,2,Best,2,Trane,5TEM4B02AC21S,7,left,0
shp_essential_2ton_best_3_trane_tcont724as42da.png,Essential,SHP,2,Best,3,Trane,TCONT724AS42DA,7,left,0
shp_essential_2ton_better_1_trane_5twr4024a1000.png,Essential,SHP,2,Better,1,Trane,5TWR4024A1000,7,right,0
shp_essential_2ton_better_2_trane_5tem4b02ac21s.png,Essential,SHP,2,Better,2,Trane,5TEM4B02AC21S,7,right,0
shp_essential_2ton_better_3_trane_tcont724as42da.png,Essential,SHP,2,Better,3,Trane,TCONT724AS42DA,7,right,0
shp_essential_2ton_budget_1_runtru_a5hp4024a1000.png,Essential,SHP,2,Budget,1,RunTru,A5HP4024A1000,7,right,0
shp_essential_2ton_budget_2_ameristar_a5ahc003a1b30a.png,Essential,SHP,2,Budget,2,Ameristar,A5AHC003A1B30A,7,right,0
shp_essential_2ton_budget_3_trane_tcont724as42da.png,Essential,SHP,2,Budget,3,Trane,TCONT724AS42DA,7,right,0
shp_essential_2ton_good_1_carrier_fj5anxb24l05.png,Essential,SHP,2,Good,1,Carrier,FJ5ANXB24L05,7,left,0
shp_essential_2ton_good_2_carrier_27sca524a003.png,Essential,SHP,2,Good,2,Carrier,27SCA524A003,7,left,0
shp_essential_2ton_good_3_carrier_eb-state3lticr-01.png,Essential,SHP,2,Good,3,Carrier,EB-STATE3LTICR-01,7,left,0
shp_essential_1_5ton_best_1_trane_5twr5018a1000.png,Essential,SHP,1.5,Best,1,Trane,5TWR5018A1000,8,left,0
shp_essential_1_5ton_best_2_trane_5tem4b02ac21s.png,Essential,SHP,1.5,Best,2,Trane,5TEM4B02AC21S,8,left,0
shp_essential_1_5ton_best_3_trane_tcont724as42da.png,Essential,SHP,1.5,Best,3,Trane,TCONT724AS42DA,8,left,0
shp_essential_1_5ton_better_1_trane_5twr4018a1000.png,Essential,SHP,1.5,Better,1,Trane,5TWR4018A1000,8,right,0
shp_essential_1_5ton_better_2_trane_5tem4b02ac21s.png,Essential,SHP,1.5,Better,2,Trane,5TEM4B02AC21S,8,right,0
shp_essential_1_5ton_better_3_trane_tcont724as42da.png,Essential,SHP,1.5,Better,3,Trane,TCONT724AS42DA,8,right,0
shp_essential_1_5ton_budget_1_ameristar_a5hp4018a1000.png,Essential,SHP,1.5,Budget,1,Ameristar,A5HP4018A1000,8,right,0
shp_essential_1_5ton_budget_2_ameristar_a5ahv002a1b30a.png,Essential,SHP,1.5,Budget,2,Ameristar,A5AHV002A1B30A,8,right,0
shp_essential_1_5ton_budget_3_trane_tcont724as42da.png,Essential,SHP,1.5,Budget,3,Trane,TCONT724AS42DA,8,right,0
shp_essential_1_5ton_good_1_carrier_fj5anxa18l05.png,Essential,SHP,1.5,Good,1,Carrier,FJ5ANXA18L05,8,left,0
shp_essential_1_5ton_good_2_carrier_27sca518a003.png,Essential,SHP,1.5,Good,2,Carrier,27SCA518A003,8,left,0
shp_essential_1_5ton_good_3_carrier_eb-state3lticr-01.png,Essential,SHP,1.5,Good,3,Carrier,EB-STATE3LTICR-01,8,left,0
