file,package,tonnage,tier,position,brand,model,page,column
sga_essential_2ton_best_3_trane_s8x1b040m2psc.png,Essential,2,Best,3,Trane,S8X1B040M2PSC,11,left
sga_essential_2ton_best_4_trane_tcont724as42da.png,Essential,2,Best,4,Trane,TCONT724AS42DA,11,left
sga_essential_2ton_better_1_trane_5ttr4024a1000.png,Essential,2,Better,1,Trane,5TTR4024A1000,11,right
sga_essential_2ton_better_2_trane_5txca001as3hc.png,Essential,2,Better,2,Trane,5TXCA001AS3HC,11,right
sga_essential_2ton_better_3_trane_s8x1b040m2psc.png,Essential,2,Better,3,Trane,S8X1B040M2PSC,11,right
sga_essential_2ton_better_4_trane_tcont724as42da.png,Essential,2,Better,4,Trane,TCONT724AS42DA,11,right
sga_essential_2ton_budget_1_runtru_a5ac4024a1000.png,Essential,2,Budget,1,RunTru,A5AC4024A1000,12,right
sga_essential_2ton_budget_2_runtru_5txcb003as3hc.png,Essential,2,Budget,2,RunTru,5TXCB003AS3HC,12,right
sga_essential_2ton_budget_3_runtru_a801x040am3sd.png,Essential,2,Budget,3,RunTru,A801X040AM3SD,12,right
sga_essential_2ton_budget_4_trane_tcont724as42da.png,Essential,2,Budget,4,Trane,TCONT724AS42DA,12,right
sga_essential_2ton_good_1_carrier_26sca524w003.png,Essential,2,Good,1,Carrier,26SCA524W003,12,left
sga_essential_2ton_good_2_carrier_cvava2414xma.png,Essential,2,Good,2,Carrier,CVAVA2414XMA,12,left
sga_essential_2ton_good_3_carrier_58sb0b045m14--12.png,Essential,2,Good,3,Carrier,58SB0B045M14--12,12,left
sga_essential_2ton_good_4_carrier_eb-state3lticr-01.png,Essential,2,Good,4,Carrier,EB-STATE3LTICR-01,12,left
sga_essential_1_5ton_best_1_trane_5ttr5018a1000.png,Essential,1.5,Best,1,Trane,5TTR5018A1000,13,left
sga_essential_1_5ton_best_2_ameristar_5txcb003as3hc.png,Essential,1.5,Best,2,Ameristar,5TXCB003AS3HC,13,left
sga_essential_1_5ton_best_3_trane_s8x1b040m2psc.png,Essential,1.5,Best,3,Trane,S8X1B040M2PSC,13,left
sga_essential_1_5ton_best_4_trane_tcont724as42da.png,Essential,1.5,Best,4,Trane,TCONT724AS42DA,13,left
sga_essential_1_5ton_better_1_trane_5ttr4018a1000.png,Essential,1.5,Better,1,Trane,5TTR4018A1000,13,right
sga_essential_1_5ton_better_2_ameristar_5txca001as3hc.png,Essential,1.5,Better,2,Ameristar,5TXCA001AS3HC,13,right
sga_essential_1_5ton_better_3_trane_s8x1a040m3psc.png,Essential,1.5,Better,3,Trane,S8X1A040M3PSC,13,right
sga_essential_1_5ton_better_4_trane_tcont724as42da.png,Essential,1.5,Better,4,Trane,TCONT724AS42DA,13,right
sga_essential_1_5ton_budget_1_ameristar_a5ac4018a1000.png,Essential,1.5,Budget,1,Ameristar,A5AC4018A1000,14,right
sga_essential_1_5ton_budget_2_ameristar_a801x040am3sd.png,Essential,1.5,Budget,2,Ameristar,A801X040AM3SD,14,right
sga_essential_1_5ton_budget_3_runtru_5txca001as3hc.png,Essential,1.5,Budget,3,RunTru,5TXCA001AS3HC,14,right
sga_essential_1_5ton_budget_4_trane_tcont724as42da.png,Essential,1.5,Budget,4,Trane,TCONT724AS42DA,14,right
sga_essential_1_5ton_good_1_carrier_26sca518w003.png,Essential,1.5,Good,1,Carrier,26SCA518W003,14,left
sga_essential_1_5ton_good_2_carrier_cvava2414xma.png,Essential,1.5,Good,2,Carrier,CVAVA2414XMA,14,left
sga_essential_1_5ton_good_3_carrier_58sb0b045m14--12.png,Essential,1.5,Good,3,Carrier,58SB0B045M14--12,14,left
sga_essential_1_5ton_good_4_carrier_eb-state3lticr-01.png,Essential,1.5,Good,4,Carrier,EB-STATE3LTICR-01,14,left
